weapon_name,skin_name,pattern,backside_blue,backside_purple,backside_gold,playside_blue,playside_purple,playside_gold
Karambit,Case Hardened,821,53.85,4.02,42.12,34.03,17.63,48.34
Karambit,Case Hardened,406,92.28,0.81,6.91,12.49,17.13,70.38
Karambit,Case Hardened,802,53.31,15.11,31.59,0.0,0.06,99.94
Karambit,Case Hardened,988,0.55,2.51,96.94,0.03,0.65,99.32
Karambit,Case Hardened,554,11.63,16.57,71.8,6.22,4.51,89.27
Karambit,Case Hardened,347,5.4,1.84,92.76,12.42,9.08,78.5
Karambit,Case Hardened,845,36.91,12.21,50.88,6.52,8.51,84.96
Karambit,Case Hardened,783,45.53,3.82,50.66,9.55,3.87,86.58
Karambit,Case Hardened,289,5.26,7.79,86.96,3.88,6.51,89.61
Karambit,Case Hardened,485,27.37,4.77,67.86,38.97,24.87,36.16
Karambit,Case Hardened,857,35.33,16.04,48.62,16.87,12.69,70.44
Karambit,Case Hardened,92,1.33,1.6,97.07,76.63,6.57,16.8
Karambit,Case Hardened,465,9.52,13.38,77.1,1.12,2.26,96.62
Karambit,Case Hardened,819,0.09,0.51,99.4,8.92,20.09,71.0
Karambit,Case Hardened,196,0.54,5.8,93.66,23.35,21.06,55.59
Karambit,Case Hardened,852,0.94,6.79,92.28,66.77,10.81,22.42
Karambit,Case Hardened,68,2.68,0.6,96.72,44.91,8.63,46.46
Karambit,Case Hardened,265,2.79,8.95,88.26,71.71,14.71,13.58
Karambit,Case Hardened,453,46.36,8.42,45.22,80.78,6.44,12.78
Karambit,Case Hardened,622,9.46,4.02,86.51,48.13,5.56,46.31
Karambit,Case Hardened,956,15.15,10.52,74.33,6.58,11.56,81.85
Karambit,Case Hardened,965,1.92,0.86,97.22,76.86,3.53,19.61
Karambit,Case Hardened,120,0.08,0.81,99.12,0.18,0.15,99.67
Karambit,Case Hardened,530,58.72,20.2,21.08,41.01,25.33,33.66
Karambit,Case Hardened,843,4.03,2.61,93.36,13.48,15.22,71.31
Karambit,Case Hardened,339,21.07,6.63,72.3,0.09,0.6,99.31
Karambit,Case Hardened,712,52.45,10.52,37.02,1.81,10.55,87.63
Karambit,Case Hardened,704,0.2,1.64,98.16,12.84,14.42,72.73
Karambit,Case Hardened,826,14.79,0.34,84.87,44.06,14.81,41.12
Karambit,Case Hardened,933,62.46,2.67,34.87,16.3,14.32,69.38
Karambit,Case Hardened,678,4.35,16.51,79.14,8.42,3.67,87.91
Karambit,Case Hardened,592,11.0,2.21,86.79,9.3,1.4,89.3
Karambit,Case Hardened,17,11.55,12.16,76.29,18.84,7.51,73.66
Karambit,Case Hardened,985,9.03,8.29,82.68,56.05,13.86,30.09
Karambit,Case Hardened,660,1.54,0.28,98.19,3.16,1.91,94.93
Karambit,Case Hardened,20,38.11,17.38,44.51,76.7,5.44,17.85
Karambit,Case Hardened,616,1.78,4.81,93.42,48.88,6.48,44.64
Karambit,Case Hardened,727,2.49,5.57,91.94,79.83,5.47,14.7
Karambit,Case Hardened,400,71.97,3.55,24.48,27.93,11.21,60.85
Karambit,Case Hardened,374,73.5,3.47,23.02,3.44,8.31,88.25
Karambit,Case Hardened,422,0.59,4.31,95.1,0.0,0.22,99.78
Karambit,Case Hardened,636,0.91,0.91,98.19,8.18,3.91,87.91
Karambit,Case Hardened,518,16.0,12.87,71.13,3.05,1.49,95.46
Karambit,Case Hardened,370,3.19,1.51,95.3,23.64,11.47,64.89
Karambit,Case Hardened,429,3.37,2.26,94.37,58.08,1.36,40.56
Karambit,Case Hardened,880,1.57,2.41,96.02,22.9,13.39,63.71
Karambit,Case Hardened,309,20.82,14.12,65.06,0.55,2.32,97.13
Karambit,Case Hardened,515,27.7,19.15,53.15,69.04,8.8,22.16
Karambit,Case Hardened,130,21.47,15.35,63.17,82.18,2.34,15.48
Karambit,Case Hardened,118,1.77,1.59,96.64,34.95,19.57,45.48
Karambit,Case Hardened,107,31.45,6.55,61.99,0.5,0.52,98.98
Karambit,Case Hardened,25,47.62,20.27,32.11,72.58,5.85,21.57
Karambit,Case Hardened,102,0.24,0.18,99.58,6.96,5.58,87.46
Karambit,Case Hardened,503,86.23,3.63,10.14,27.91,25.47,46.62
Karambit,Case Hardened,595,7.4,2.21,90.39,60.2,18.83,20.97
Karambit,Case Hardened,253,66.44,12.49,21.07,16.22,7.53,76.25
Karambit,Case Hardened,674,12.52,8.89,78.59,40.14,17.76,42.1
Karambit,Case Hardened,940,3.0,4.32,92.68,31.02,15.73,53.25
Karambit,Case Hardened,441,61.25,2.21,36.54,0.84,3.4,95.76
Karambit,Case Hardened,81,4.73,10.79,84.47,24.95,8.22,66.83
Karambit,Case Hardened,50,8.3,13.96,77.74,31.17,20.9,47.93
Karambit,Case Hardened,405,32.99,1.91,65.1,60.28,14.74,24.98
Karambit,Case Hardened,14,22.82,5.8,71.38,28.72,5.81,65.47
Karambit,Case Hardened,917,11.16,10.83,78.01,71.76,4.43,23.82
Karambit,Case Hardened,724,5.05,8.0,86.95,44.04,13.85,42.11
Karambit,Case Hardened,567,17.05,14.64,68.31,39.13,16.07,44.8
Karambit,Case Hardened,818,9.27,6.92,83.82,10.83,13.15,76.01
Karambit,Case Hardened,136,42.75,10.44,46.82,14.02,4.86,81.12
Karambit,Case Hardened,839,0.1,0.03,99.87,42.71,1.13,56.16
Karambit,Case Hardened,709,7.55,15.15,77.29,0.0,0.03,99.97
Karambit,Case Hardened,580,42.08,15.73,42.19,78.41,6.25,15.34
Karambit,Case Hardened,129,3.57,1.81,94.63,48.96,13.12,37.92
Karambit,Case Hardened,402,59.4,6.06,34.55,1.23,1.78,96.98
Karambit,Case Hardened,262,21.33,12.21,66.45,71.98,5.26,22.76
Karambit,Case Hardened,354,68.18,11.14,20.68,17.5,7.33,75.17
Karambit,Case Hardened,490,4.63,4.81,90.56,62.29,16.74,20.98
Karambit,Case Hardened,152,6.22,4.84,88.94,73.87,14.2,11.93
Karambit,Case Hardened,395,1.57,1.9,96.53,13.94,14.67,71.38
Karambit,Case Hardened,890,1.03,0.8,98.17,15.45,11.32,73.23
Karambit,Case Hardened,316,2.92,0.92,96.15,12.97,9.08,77.94
Karambit,Case Hardened,493,15.63,6.4,77.97,11.17,6.55,82.27
Karambit,Case Hardened,664,19.5,12.3,68.2,81.16,0.89,17.95
Karambit,Case Hardened,884,10.46,11.72,77.82,30.66,16.29,53.05
Karambit,Case Hardened,547,3.96,5.34,90.7,47.1,10.47,42.43
Karambit,Case Hardened,996,26.72,17.64,55.63,0.0,0.02,99.98
Karambit,Case Hardened,808,42.32,2.99,54.7,46.7,11.66,41.64
