base_skin,weapon,skin,wear,float,pattern,stattrak,price,phase,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0114615382626652,93,0,2173.46,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0296091455966234,259,0,1434.51,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0100400131195783,780,0,3380.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0198257714509964,910,0,3599.0,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0278642121702432,19,0,1599.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0157949067652225,508,0,1832.19,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0125879105180501,689,0,1579.99,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0333581008017063,800,0,6301.36,Sapphire,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0227390378713607,742,0,1540.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0314320847392082,685,0,1508.0,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0076097040437161,905,0,1670.55,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.032979592680931,368,0,1900.0,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0078155789524316,931,0,2077.06,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0241065360605716,910,0,2424.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0155101371929049,268,0,2899.41,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0136017389595508,699,0,1900.0,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0340058282017707,199,0,1437.64,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0344258621335029,816,0,1376.2,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0529014728963375,126,0,1370.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.038318496197462,181,0,7115.35,Sapphire,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0110825868323445,422,0,9670.81,Ruby,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0283894557505846,45,0,1620.68,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0165556762367486,80,0,2950.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0328135415911674,929,0,1400.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0325883589684963,790,0,2700.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0065820747986435,161,0,3950.59,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0635323673486709,894,0,1787.77,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0082419877871871,271,0,3499.99,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0064804311841726,162,0,3550.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0046697468496859,150,0,2100.29,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0663388445973396,10,0,1726.14,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0190929528325796,134,0,6656.25,Sapphire,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.036993321031332,270,0,1399.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0262939408421516,494,0,1650.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
