weapon,skin,wear,float,pattern,stattrak,price,phase,fade_seed,fade_percentage,fade_rank,fade_type,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
AWP,Fade,Factory New,0.0286636574606331,504,0,989.45,,504,93.27533,344,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.027573175728321,928,0,1059.72,,928,92.24866,402,fade,2,13.23,6.615,11.07,0.0124844298493941,Sticker | Bolt Strike (Foil),2.16,Sticker | Global Elite (Foil),11.07,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.032734930530028475,928,0,1031.43,,928,92.24866,402,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.03698713621621907,928,0,1087.8,,928,92.24866,402,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0327349305300284,928,0,1031.43,,928,92.24866,402,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.036987136216219,928,0,1087.8,,928,92.24866,402,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0241319276392459,148,0,1383.15,,148,95.52842,224,fade,2,6.63,3.315,5.64,0.0047934063550591,Sticker | Taste Buddy (Holo),5.64,Sticker | Kawaii Eyes (Glitter),0.99,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.02969959758072114,148,0,1334.52,,148,95.52842,224,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.023466347713786584,148,0,1313.75,,148,95.52842,224,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0296995975807211,148,0,1334.52,,148,95.52842,224,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
